үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
630.0,"Сүхбаатар, Бага тойрог",Плита,2,2010.0,0,Вакум,9.0,Бүргэд,185.35,8.0,1,5.0,1
503.874,"Хан-Уул, 19-р хороолол",Паркет,1,2022.0,0,Вакум,12.0,Бүргэд,79.98,3.0,0,3.0,1
273.47,"Хан-Уул, King Tower",Паркет,0,2015.0,0,Вакум,12.0,Бүргэд,66.7,12.0,0,3.0,1
285.0,"Баянзүрх, Бөхийн Өргөө",Паркет,1,1991.0,0,Вакум,9.0,Бүргэд,106.0,6.0,0,5.0,1
79.0,"Сүхбаатар, 100 айл",Паркет,1,2023.0,0,Вакум,12.0,Бүргэд,21.1,8.0,0,1.0,1
365.0,"Хан-Уул, Зайсан",Паркет,0,2023.0,0,Вакум,16.0,Төмөр,79.0,7.0,1,6.0,1
80.0,"Сонгинохайрхан, 21-р хороолол",Паркет,1,2012.0,0,Вакум,13.0,Бүргэд,30.0,10.0,0,2.0,1
300.0,"Баянгол, Баянгол, Хороо 3",Паркет,0,2015.0,0,Вакум,23.0,Бүргэд,50.0,1.0,0,2.0,1
472.0,"Хан-Уул, Зайсан",Паркет,1,2016.0,1,Вакум,6.0,Төмөр,118.0,2.0,0,3.0,1
74.0,"Хан-Уул, Нисэх",Паркет,1,2024.0,0,Вакум,16.0,Бүргэд,30.13,7.0,0,1.0,0
380.0,"Хан-Уул, UB Town",Паркет,1,2010.0,1,Вакум,5.0,Бүргэд,150.0,3.0,0,6.0,1
110.0,"Баянгол, 10-р хороолол",Паркет,1,2013.0,0,Вакум,16.0,Төмөр,43.0,13.0,0,2.0,1
160.0,"Сонгинохайрхан, 5 шар",Паркет,1,2015.0,0,Вакум,9.0,Бүргэд,53.94,7.0,1,3.0,1
395.0,"Хан-Уул, 19-р хороолол",Паркет,1,2021.0,0,Вакум,16.0,Бүргэд,82.07,10.0,0,3.0,1
380.0,"Баянзүрх, 13-р хороолол",Паркет,2,1989.0,0,Вакум,9.0,Төмөр,90.0,5.0,0,5.0,1
410.0,"Хан-Уул, Зайсан",Паркет,3,2010.0,1,Модон вакум,9.0,Бүргэд,140.0,9.0,0,8.0,1
189.0,"Чингэлтэй, 40 мянгат",Мод,1,1980.0,0,Мод,4.0,Бүргэд,45.0,2.0,0,3.0,1
634.8,"Хан-Уул, Мишээл",Цемент,1,2024.0,1,Вакум,15.0,Төмөр,138.0,9.0,0,6.0,1
647.925,"Хан-Уул, Мишээл",Паркет,1,2024.0,1,Вакум,16.0,Мод,122.25,9.0,0,6.0,1
492.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2023.0,1,Вакум,15.0,Бүргэд,82.0,5.0,1,3.0,1
