үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
160000000.00,"УБ — Сонгинохайрхан, Найрамдал",,,,,,,,199 м²,,Лизинггүй,,Ашиглалтад орсон
339000000.00,"УБ — Сүхбаатар, Ар хустай",,,,,,,,135 м²,,Лизинггүй,,Ашиглалтад орсон
1500000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2022,Байгаа,Вакум,16,Бүргэд,166.0 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон
4000000.00,"УБ — Баянзүрх, Сансар",Ламинат,1 тагттай,2023,Байгаа,Вакум,15,Бүргэд,83.26 м²,11,Лизинггүй,4,Ашиглалтад орсон
230000000.00,"УБ — Баянзүрх, 15-р хороолол",,,,,,,,255 м²,,Банкны лизингтэй,,Ашиглалтад орсон
110000000.00,"УБ — Хан-Уул, Нисэх",,,,,,,,600 м²,,Лизинггүй,,
168000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Паркет,1 тагттай,2020,Байхгүй,Вакум,13,Бүргэд,48.12 м²,7,Лизинггүй,3,Ашиглалтад орсон
4000000.00,"УБ — Сүхбаатар, Дарь Эх",Ламинат,1 тагттай,2023,Байгаа,Вакум,15,Бүргэд,63.69 м²,5,Лизинггүй,2,Ашиглалтад орсон
92000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,48 м²,,Лизинггүй,,Ашиглалтад орсон
3400000000.00,"УБ — Хан-Уул, 19-р хороолол",,,,,,,,298 м²,,Лизинггүй,,Ашиглалтад орсон
580000000.00,"УБ — Чингэлтэй, 40 мянгат",Паркет,1 тагттай,2015,Байхгүй,Мод,13,Бүргэд,89.0 м²,10,Лизинггүй,4,Ашиглалтад орсон
380000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 18",,,,,,,,250 м² м²,,Лизинггүй,,Ашиглалтад орсон
1100000000.00,"УБ — Налайх, Налайх, Хороо 1",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
227000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,2 тагттай,2024,Байхгүй,Вакум,16,Мод,63.05 м²,16,Банкны лизингтэй,3,Ашиглалтад орсон
580000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,,,,,,,105 м²,,Банкны лизингтэй,,Ашиглалтад орсон
209000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,65.67 м²,1,Банкны лизингтэй,2,Ашиглалтад орсон
85000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 7",,,,,,,,252 м²,,Банкны лизингтэй,,
27000000000.00,"УБ — Сүхбаатар, МУБИС",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
100000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 4",,,,,,,,700 м²,,Лизинггүй,,
130000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,Тагтгүй,2013,Байхгүй,Вакум,12,Бүргэд,43.1 м²,4,Лизинггүй,2,Ашиглалтад орсон
8000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,,,,,,,,,Хувь лизингтэй,,Ашиглалтад орсон
6460000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,112.94 м²,10,Банкны лизингтэй,5,Ашиглалтад орсон
289000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Бүргэд,72.28 м²,7,Лизинггүй,2,Ашиглалтад орсон
850000000.00,"УБ — Сүхбаатар, 100 айл",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
140500000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2016,Байхгүй,Вакум,16,Бүргэд,57.51 м²,9,Лизинггүй,4,Ашиглалтад орсон
19000000.00,"УБ — Сүхбаатар, Гоодойн ам",,,,,,,,,,Лизинггүй,,
469000000.00,"УБ — Хан-Уул, River Garden",,,,,,,,,,Хувь лизингтэй,,Ашиглалтад орсон
180000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 42",Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Төмөр,54.26 м²,2,Лизинггүй,3,Ашиглалтад орсон
230000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,,,Лизинггүй,,
250000000.00,"УБ — Баянзүрх, Гачуурт",,,,,,,,72 м²,,Лизинггүй,,Ашиглалтад орсон
80000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Бүргэд,24.0 м²,1,Лизинггүй,2,Ашиглалтад орсон
2100000000.00,"УБ — Чингэлтэй, Баянбүрд",,,,,,,,,,Лизинггүй,,
280000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",,,,,,,,62 м²,,Банкны лизингтэй,,Ашиглалтад орсон
1700000.00,"УБ — Баянзүрх, Сансар",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
1500000000.00,"УБ — Хан-Уул, Зайсан",,,,,,,,244 м²,,Лизинггүй,,Ашиглалтад орсон
160000000.00,"УБ — Сонгинохайрхан, Баянхошуу",,,,,,,,900 м²,,Лизинггүй,,
150000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 12",,,,,,,,325 м²,,Лизинггүй,,
3500000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,,,,,,,98 м²,,Банкны лизингтэй,,Ашиглалтад орсон
192000000.00,"УБ — Баянгол, Төмөр зам",Паркет,Тагтгүй,2017,Байхгүй,Вакум,5,Бүргэд,60.0 м²,5,Лизинггүй,3,Ашиглалтад орсон
168000000.00,"УБ — Баянгол, Баянгол, Хороо 1",Паркет,1 тагттай,2016,Байхгүй,Вакум,13,Бүргэд,48.12 м²,7,Лизинггүй,3,Ашиглалтад орсон
665000000.00,"УБ — Хан-Уул, Japan town",Паркет,Тагтгүй,2019,Байхгүй,Модон вакум,17,Төмөр вакум,85.0 м²,12,Лизинггүй,4,Ашиглалтад орсон
10000000.00,"УБ — Сүхбаатар, 100 айл",,,,,,,,18 м²,,Лизинггүй,,Ашиглалтад орсон
1350000000.00,"УБ — Сонгинохайрхан, Зүүн салаа",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
100000000.00,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,Тагтгүй,2014,Байхгүй,Вакум,12,Бүргэд,34.0 м²,9,Банкны лизингтэй,1,Ашиглалтад орсон
