үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
839160000.00,"УБ — Сүхбаатар, 11-р хороолол",Паркет,1 тагттай,2004,Байгаа,Вакум,5,Бүргэд,140.0 м²,3,Лизинггүй,6,Ашиглалтад орсон,
6150000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,2 тагттай,2023,Байхгүй,Вакум,25,Төмөр,117.0 м²,25,Лизинггүй,5,Ашиглалтад орсон,
438000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3",Паркет,1 тагттай,2004,Байгаа,Вакум,9,Бүргэд,76.0 м²,5,Банкны лизингтэй,6,Ашиглалтад орсон,
201600000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Бүргэд,79.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон,
530000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Төмөр,100.0 м²,9,Лизинггүй,6,Ашиглалтад орсон,
1306000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 11",Паркет,1 тагттай,2022,Байгаа,Вакум,7,Төмөр,184.0 м²,4,Лизинггүй,5,Ашиглалтад орсон,
145000000.00,"УБ — Баянгол, 3, 4 хороолол",Мод,2 тагттай,2000,Байхгүй,Вакум,9,Бүргэд,60.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,
2300000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 5",Паркет,2 тагттай,2005,Байгаа,Вакум,3,Бүргэд,140.3 м²,3,Банкны лизингтэй,8,Ашиглалтад орсон,
410362000.00,"УБ — Баянгол, Баянгол, Хороо 11",Паркет,2 тагттай,2013,Байгаа,Вакум,12,Бүргэд,108.0 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,
506990000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2022,Байхгүй,Вакум,12,Төмөр,92.18 м²,12,Лизинггүй,5,Ашиглалтад орсон,
172000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2019,Байхгүй,Вакум,10,Бүргэд,60.45 м²,10,Хувь лизингтэй,4,Ашиглалтад орсон,
432900000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2008,Байгаа,Вакум,9,Төмөр вакум,96.2 м²,6,Банкны лизингтэй,5,Ашиглалтад орсон,
140000000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,1 тагттай,2023,Байхгүй,Вакум,7,Бүргэд,41.37 м²,1,Лизинггүй,2,Ашиглалтад орсон,
248500000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,71.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,
215000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 6",Паркет,1 тагттай,1992,Байхгүй,Вакум,9,Бүргэд,80.0 м²,3,Банкны лизингтэй,4,Ашиглалтад орсон,
450000000.00,"УБ — Хан-Уул, Яармаг",Паркет,3+ тагттай,2022,Байхгүй,Вакум,6,Бүргэд,128.14 м²,6,Лизинггүй,6,Ашиглалтад орсон,
696000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2013,Байгаа,Вакум,16,Бүргэд,120.0 м²,14,Лизинггүй,5,Ашиглалтад орсон,
320000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2012,Байгаа,Вакум,5,Бүргэд,80.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,
2500000.00,"УБ — Хан-Уул, Буянт Ухаа хороолол",Паркет,1 тагттай,2016,Байхгүй,Вакум,9,Бүргэд,66.88 м²,3,Лизинггүй,3,Ашиглалтад орсон,
155000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 21",Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,68.0 м²,10,Лизинггүй,4,Ашиглалтад орсон,
170000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,2008,Байгаа,Вакум,5,Бүргэд,45.0 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,
310000000.00,"УБ — Баянзүрх, Баянзүрх дүүрэг",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,79.0 м²,16,Лизинггүй,4,Ашиглалтад орсон,
90000000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,1999,Байхгүй,Вакум,5,Төмөр,48.6 м²,3,Лизинггүй,3,Ашиглалтад орсон,
3500000.00,"УБ — Баянгол, Төмөр зам",Паркет,1 тагттай,2017,Байхгүй,Вакум,5,Төмөр вакум,109.0 м²,3,Банкны лизингтэй,5,Ашиглалтад орсон,
700000000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2022,Байгаа,Вакум,16,Бүргэд,191.3 м²,12,Лизинггүй,8,Ашиглалтад орсон,
3500000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Төмөр вакум,52.0 м²,7,Лизинггүй,2,Ашиглалтад ороогүй,
3500000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Төмөр вакум,52.0 м²,7,Лизинггүй,2,Ашиглалтад ороогүй,
210000000.00,"УБ — Сүхбаатар, Бага тойрог",Паркет,1 тагттай,2010,Байхгүй,Вакум,12,Төмөр вакум,54.7 м²,1,Лизинггүй,3,Ашиглалтад орсон,
2300000.00,"УБ — Хан-Уул, Буянт Ухаа хороолол",Паркет,Тагтгүй,2014,Байхгүй,Вакум,9,Бүргэд,42.32 м²,8,Лизинггүй,1,Ашиглалтад орсон,
173775000.00,"УБ — Сүхбаатар, 220 мянгат",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,49.65 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,
2600000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,53.2 м²,13,Лизинггүй,2,Ашиглалтад орсон,
3500000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Төмөр,39.03 м²,4,Банкны лизингтэй,3,Ашиглалтад ороогүй,
174000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,36.3 м²,16,Банкны лизингтэй,2,Ашиглалтад орсон,
5000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2019,Байхгүй,Вакум,15,Бүргэд,71.1 м²,9,Банкны лизингтэй,4,Ашиглалтад орсон,
243000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Төмөр,72.3 м²,15,Лизинггүй,3,Ашиглалтад орсон,
190000000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2023,Байхгүй,Вакум,13,Төмөр,71.2 м²,5,Лизинггүй,3,Ашиглалтад орсон,
198100000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Паркет,1 тагттай,2017,Байгаа,Вакум,16,Төмөр,68.31 м²,5,Лизинггүй,3,Ашиглалтад орсон,
232500000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2016,Байхгүй,Вакум,6,Төмөр вакум,93.0 м²,5,Банкны лизингтэй,7,Ашиглалтад орсон,
150000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,Тагтгүй,2012,Байхгүй,Вакум,9,Бүргэд,51.0 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,
200000000.00,"УБ — Хан-Уул, Яармаг",Ламинат,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,74.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,
560000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Бүргэд,101.0 м²,4,Лизинггүй,5,Ашиглалтад орсон,
4400000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",Паркет,1 тагттай,2008,Байхгүй,Вакум,16,Төмөр,104.75 м²,10,Лизинггүй,3,Ашиглалтад орсон,
329000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 24",Паркет,2 тагттай,2021,Байхгүй,Вакум,10,Бүргэд,105.11 м²,1,Лизинггүй,7,Ашиглалтад орсон,
2000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,53.0 м²,15,Хувь лизингтэй,2,Ашиглалтад ороогүй,
2700000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2021,Байгаа,Вакум,12,Бүргэд,71.7 м²,11,Банкны лизингтэй,5,Ашиглалтад орсон,
305000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 42",Паркет,1 тагттай,2009,Байгаа,Вакум,12,Төмөр,90.54 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,
135000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,1990,Байхгүй,Вакум,6,Бүргэд,58.9 м²,4,Лизинггүй,3,Ашиглалтад орсон,
125000000.00,"УБ — Сүхбаатар, 100 айл",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,44.34 м²,12,Лизинггүй,2,Ашиглалтад орсон,
455000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,2020,Байхгүй,Вакум,23,Төмөр,70.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,
255000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 7",Паркет,2 тагттай,1988,Байхгүй,Вакум,9,Бүргэд,71.0 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,
418000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,79.0 м²,13,Лизинггүй,4,Ашиглалтад орсон,
198000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,66.24 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,
730000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 24",Паркет,1 тагттай,2020,Байгаа,Вакум,9,Бүргэд,150.0 м²,8,Лизинггүй,5,Ашиглалтад орсон,
530000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,106.0 м²,8,Банкны лизингтэй,3,Ашиглалтад орсон,
150000000.00,"УБ — Баянзүрх, Цайз 16",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,61.77 м²,2,Лизинггүй,3,Ашиглалтад орсон,
118000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Бүргэд,45.0 м²,3,Лизинггүй,2,Ашиглалтад орсон,
166286000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байхгүй,Вакум,15,Бүргэд,57.34 м²,10,Лизинггүй,2,Ашиглалтад орсон,
178000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,2009,Байхгүй,Вакум,12,Бүргэд,74.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,
165000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,43.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,
165000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1 тагттай,2019,Байхгүй,Вакум,15,Бүргэд,58.59 м²,10,Банкны лизингтэй,3,Ашиглалтад орсон,
160000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,57.39 м²,6,Лизинггүй,2,Ашиглалтад орсон,
250000000.00,"УБ — Баянзүрх, Офицер",Паркет,2 тагттай,2011,Байхгүй,Вакум,3,Төмөр,75.0 м²,3,Банкны лизингтэй,5,Ашиглалтад орсон,
173000000.00,"УБ — Баянзүрх, Офицер",Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,61.0 м²,7,Банкны лизингтэй,2,Ашиглалтад орсон,
125760000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 24",Паркет,1 тагттай,2024,Байгаа,Вакум,12,Бүргэд,39.3 м²,10,Лизинггүй,1,Ашиглалтад орсон,
2950000.00,"УБ — Баянзүрх, 13-р хороолол",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,75.0 м²,11,Лизинггүй,3,Ашиглалтад орсон,
118000000.00,"УБ — Баянзүрх, Цайз 16",Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Бүргэд,39.15 м²,8,Банкны лизингтэй,2,Ашиглалтад орсон,
520000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,106.0 м²,8,Лизинггүй,3,Ашиглалтад орсон,
1350000000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2021,Байгаа,Вакум,15,Төмөр,289.0 м²,8,Лизинггүй,5,Ашиглалтад орсон,
1365000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2019,Байгаа,Вакум,16,Төмөр,210.0 м²,16,Лизинггүй,5,Ашиглалтад орсон,
3200000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 24",Паркет,2 тагттай,2024,Байгаа,Вакум,12,Бүргэд,77.13 м²,10,Лизинггүй,3,Ашиглалтад орсон,
130000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1 тагттай,2005,Байхгүй,Вакум,5,Бүргэд,51.04 м²,5,Банкны лизингтэй,2,Ашиглалтад орсон,
477000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Бүргэд,136.0 м²,6,Банкны лизингтэй,5,Ашиглалтад орсон,
132000000.00,"УБ — Баянгол, Баянгол, Хороо 23",Паркет,1 тагттай,2011,Байгаа,Вакум,4,Бүргэд,44.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,
98000000.00,"УБ — Баянгол, Баянгол, Хороо 20",Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Бүргэд,45.75 м²,2,Банкны лизингтэй,4,Ашиглалтад орсон,
625000000.00,"УБ — Хан-Уул, Хүннү",Паркет,2 тагттай,2023,Байхгүй,Вакум,23,Бүргэд,95.86 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,
145000000.00,"УБ — Баянзүрх, Чулуун овоо",Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,45.3 м²,6,Лизинггүй,2,Ашиглалтад орсон,
243000000.00,"УБ — Баянгол, Баянгол, Хороо 4",Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,60.56 м²,13,Банкны лизингтэй,4,Ашиглалтад орсон,
240000000.00,"УБ — Баянзүрх, Баянмонгол хороолол",Паркет,1 тагттай,2009,Байхгүй,Вакум,9,Бүргэд,67.8 м²,3,Лизинггүй,3,Ашиглалтад орсон,
4300000.00,УБ — Сүхбаатар,Паркет,2 тагттай,2024,Байгаа,Вакум,16,Бүргэд,96.0 м²,16,Лизинггүй,4,Ашиглалтад орсон,
179000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байхгүй,Вакум,17,Бүргэд,62.78 м²,5,Лизинггүй,3,Ашиглалтад орсон,
372000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2022,Байхгүй,Вакум,9,Бүргэд,82.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,
158000000.00,"УБ — Баянгол, Модны 2",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,54.6 м²,8,Лизинггүй,2,Ашиглалтад орсон,
155000000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2021,Байхгүй,Вакум,9,Бүргэд,38.54 м²,7,Банкны лизингтэй,2,Ашиглалтад орсон,
400000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,2 тагттай,2015,Байгаа,Вакум,16,Бүргэд,112.74 м²,7,Лизинггүй,5,Ашиглалтад орсон,
210000000.00,"УБ — Сүхбаатар, Хүүхдийн 100",Паркет,1 тагттай,1987,Байхгүй,Вакум,5,Бүргэд,29.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,
335000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,72.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,
400000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,2 тагттай,2015,Байгаа,Вакум,16,Бүргэд,112.74 м²,7,Лизинггүй,5,Ашиглалтад орсон,
210000000.00,"УБ — Сүхбаатар, Хүүхдийн 100",Паркет,1 тагттай,1987,Байхгүй,Вакум,5,Бүргэд,29.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,
335000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,72.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,
415000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2012,Байгаа,Вакум,12,Төмөр,117.0 м²,11,Лизинггүй,4,Ашиглалтад орсон,
510195000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2023,Байхгүй,Вакум,16,Төмөр,145.77 м²,14,Лизинггүй,5,Ашиглалтад орсон,
200640000.00,"УБ — Чингэлтэй, Баянбүрд",Паркет,1 тагттай,2023,Байхгүй,Вакум,9,Бүргэд,62.7 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,
245000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,69.87 м²,7,Банкны лизингтэй,3,Ашиглалтад орсон,
590000000.00,"УБ — Хан-Уул, Удирдлагын Академи",Паркет,1 тагттай,2008,Байхгүй,Вакум,13,Төмөр,142.0 м²,12,Лизинггүй,4,Ашиглалтад орсон,
145000000.00,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,1 тагттай,2000,Байхгүй,Вакум,12,Бүргэд,50.0 м²,2,Банкны лизингтэй,2,Ашиглалтад орсон,
185000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Паркет,1 тагттай,1992,Байхгүй,Вакум,9,Бүргэд,55.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,
155000000.00,"УБ — Сүхбаатар, 11-р хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,46.8 м²,8,Лизинггүй,2,Ашиглалтад орсон,
180000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Паркет,2 тагттай,2005,Байхгүй,Вакум,5,Бүргэд,65.77 м²,5,Лизинггүй,4,Ашиглалтад орсон,
150000000.00,"УБ — Хан-Уул, Яармаг",Паркет,Тагтгүй,2021,Байхгүй,Вакум,7,Бүргэд,55.1 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,
433000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2018,Байхгүй,Вакум,20,Бүргэд,83.0 м²,18,Лизинггүй,4,Ашиглалтад орсон,
220000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Мод,55.59 м²,7,Лизинггүй,3,Ашиглалтад орсон,
650000000.00,"УБ — Хан-Уул, Арцатын ам",Паркет,1 тагттай,2024,Байхгүй,Вакум,7,Бүргэд,130.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,
2600000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2024,Байхгүй,Вакум,12,Төмөр,113.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,
335000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2020,Байгаа,Вакум,15,Бүргэд,72.0 м²,8,Банкны лизингтэй,4,Ашиглалтад орсон,
318000000.00,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,2 тагттай,2015,Байхгүй,Вакум,10,Бүргэд,110.73 м²,1,Лизинггүй,6,Ашиглалтад орсон,
167000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 18",Паркет,Тагтгүй,2014,Байхгүй,Вакум,10,Төмөр,52.43 м²,1,Лизинггүй,1,Ашиглалтад орсон,
3300000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2 тагттай,2017,Байгаа,Төмөр вакум,12,Бүргэд,85.8 м²,5,Лизинггүй,3,Ашиглалтад орсон,
3900000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байгаа,Вакум,13,Төмөр,134.26 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон,
3400000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,71.51 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,
260000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,2011,Байхгүй,Вакум,5,Бүргэд,79.4 м²,1,Лизинггүй,4,Ашиглалтад орсон,
310000000.00,"УБ — Баянзүрх, Баянзүрх дүүрэг",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,79.0 м²,16,Лизинггүй,4,Ашиглалтад орсон,
165000000.00,"УБ — Баянзүрх, Офицер",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,51.06 м²,3,Лизинггүй,2,Ашиглалтад ороогүй,
125000000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,75.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,
92000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Вакум,28.59 м²,10,Лизинггүй,1,Ашиглалтад орсон,
150000000.00,"УБ — Баянзүрх, 13-р хороолол",Паркет,1 тагттай,2007,Байхгүй,Вакум,4,Төмөр,46.0 м²,3,Лизинггүй,2,Ашиглалтад орсон,
550000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Төмөр,112.0 м²,11,Банкны лизингтэй,5,Ашиглалтад орсон,
720000000.00,"УБ — Хан-Уул, 120 мянгат",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,142.0 м²,7,Банкны лизингтэй,6,Ашиглалтад орсон,
4800000.00,"УБ — Хан-Уул, Зайсан",Плита,Тагтгүй,2024,Байхгүй,Төмөр вакум,7,Төмөр вакум,55.0 м²,7,Лизинггүй,2,Ашиглалтад орсон,
173000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,61.0 м²,7,Лизинггүй,2,Ашиглалтад орсон,
135000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,51.1 м²,8,Лизинггүй,2,Ашиглалтад орсон,
1909500000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2023,Байгаа,Вакум,7,Бүргэд,201.0 м²,1,Банкны лизингтэй,6,Ашиглалтад орсон,
460000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 4",Паркет,1 тагттай,2008,Байхгүй,Вакум,16,Бүргэд,105.0 м²,10,Лизинггүй,5,Ашиглалтад орсон,
396000000.00,"УБ — Баянзүрх, Олимп хотхон",Паркет,1 тагттай,2015,Байхгүй,Вакум,14,Бүргэд,120.0 м²,6,Банкны лизингтэй,5,Ашиглалтад орсон,
440000000.00,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,111.75 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,
350000000.00,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1 тагттай,2013,Байгаа,Вакум,15,Бүргэд,107.0 м²,3,Банкны лизингтэй,4,Ашиглалтад орсон,
1500000000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2023,Байгаа,Вакум,16,Төмөр,289.0 м²,12,Лизинггүй,7,Ашиглалтад орсон,
127000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2017,Байхгүй,Төмөр вакум,13,Бүргэд,47.0 м²,2,Банкны лизингтэй,2,Ашиглалтад орсон,
190000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 38",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,65.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,
260000000.00,"УБ — Хан-Уул, Мишээл",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,76.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,
406000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2014,Байгаа,Вакум,8,Бүргэд,140.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,
375000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,106.52 м²,5,Лизинггүй,3,Ашиглалтад ороогүй,
109000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 19",Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Төмөр,36.4 м²,6,Банкны лизингтэй,2,Ашиглалтад орсон,
186000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2017,Байгаа,Вакум,6,Бүргэд,58.1 м²,3,Лизинггүй,3,Ашиглалтад орсон,
300000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,1992,Байхгүй,Вакум,4,Бүргэд,27.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,
215000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,49.0 м²,9,Лизинггүй,2,Ашиглалтад ороогүй,
319000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,1 тагттай,2022,Байхгүй,Вакум,13,Бүргэд,80.0 м²,12,Лизинггүй,4,Ашиглалтад орсон,
3800000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,63.05 м²,2,Лизинггүй,3,Ашиглалтад орсон,
245000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2023,Байгаа,Вакум,16,Вакум,79.6 м²,9,Лизинггүй,3,Ашиглалтад орсон,
160000000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,59.1 м²,5,Лизинггүй,4,Ашиглалтад орсон,
125000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2011,Байхгүй,Вакум,9,Бүргэд,42.1 м²,5,Лизинггүй,2,Ашиглалтад орсон,
7000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,2 тагттай,2024,Байхгүй,Вакум,17,Бүргэд,174.0 м²,16,Лизинггүй,4,Ашиглалтад орсон,
