үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
145000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2020,Байхгүй,Вакум,13,Бүргэд,51.63 м²,10,Банкны лизингтэй,3,Ашиглалтад орсон,
300000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 6",Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Вакум,46.55 м²,10,Лизинггүй,2,Ашиглалтад орсон,
295000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2020,Байхгүй,Вакум,6,Төмөр,72.4 м²,4,Банкны лизингтэй,4,Ашиглалтад орсон,
500000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2018,Байхгүй,Вакум,10,Бүргэд,134.32 м²,7,Лизинггүй,6,Ашиглалтад орсон,
160000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,29.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,
230000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,2016,Байгаа,Вакум,9,Бүргэд,72.13 м²,4,Банкны лизингтэй,3,Ашиглалтад орсон,
438000000.00,"УБ — Хан-Уул, Мишээл",Цемент,2 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,73.0 м²,16,Лизинггүй,2,Ашиглалтад орсон,
3000000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,Тагтгүй,2016,Байгаа,Вакум,7,Төмөр,395.0 м²,7,Лизинггүй,8,Ашиглалтад орсон,
175000000.00,"УБ — Хан-Уул, UB Town",Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Бүргэд,50.31 м²,2,Лизинггүй,2,Ашиглалтад орсон,
7400000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 11",Паркет,1 тагттай,2023,Байгаа,Вакум,7,Төмөр,184.4 м²,4,Банкны лизингтэй,7,Ашиглалтад орсон,
185000000.00,"УБ — Баянгол, Богд-Ар",Паркет,1 тагттай,2008,Байхгүй,Вакум,6,Бүргэд,69.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,
2850000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2022,Байгаа,Вакум,16,Бүргэд,54.9 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,
130000000.00,"УБ — Хан-Уул, Яармаг",Ламинат,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,43.21 м²,5,Лизинггүй,2,Ашиглалтад орсон,
1900000000.00,"УБ — Хан-Уул, Japan town",Паркет,2 тагттай,2014,Байгаа,Төмөр вакум,16,Төмөр,252.0 м²,9,Лизинггүй,7,Ашиглалтад орсон,
3600000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Төмөр,92.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,
3600000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2013,Байхгүй,Вакум,10,Төмөр,119.7 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,
160000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,1990,Байхгүй,Вакум,12,Бүргэд,57.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,
155000000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,55.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,
165000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,57.0 м²,2,Банкны лизингтэй,4,Ашиглалтад орсон,
130000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2012,Байхгүй,Вакум,6,Бүргэд,38.0 м²,1,Банкны лизингтэй,1,Ашиглалтад орсон,
173952000.00,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,48.32 м²,9,Банкны лизингтэй,3,Ашиглалтад ороогүй,
1450000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2023,Байгаа,Вакум,15,Төмөр,166.0 м²,1,Лизинггүй,5,Ашиглалтад орсон,
173196000.00,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,48.11 м²,10,Банкны лизингтэй,3,Ашиглалтад ороогүй,
594648000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,3+ тагттай,2017,Байгаа,Вакум,4,Төмөр вакум,110.12 м²,12,Лизинггүй,3,Ашиглалтад орсон,
150000000.00,"УБ — Баянзүрх, Сансар",Паркет,1 тагттай,1980,Байхгүй,Вакум,5,Бүргэд,50.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,
80000000.00,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,31.0 м²,12,Лизинггүй,1,Ашиглалтад орсон,
120000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1 тагттай,2023,Байхгүй,Вакум,13,Бүргэд,44.46 м²,10,Лизинггүй,2,Ашиглалтад ороогүй,
405000000.00,"УБ — Хан-Уул, River Garden",Паркет,2 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,95.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,
321000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2016,Байхгүй,Вакум,10,Бүргэд,100.23 м²,1,Лизинггүй,4,Ашиглалтад орсон,
405000000.00,"УБ — Хан-Уул, River Garden",Паркет,2 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,95.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,
321000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2016,Байхгүй,Вакум,10,Бүргэд,100.23 м²,1,Лизинггүй,4,Ашиглалтад орсон,
415000000.00,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,117.59 м²,7,Банкны лизингтэй,5,Ашиглалтад орсон,
134163000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1 тагттай,2024,Байхгүй,Вакум,13,Бүргэд,49.69 м²,3,Лизинггүй,2,Ашиглалтад ороогүй,
112968000.00,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,31.38 м²,5,Банкны лизингтэй,2,Ашиглалтад ороогүй,
