үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
561.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2023,1,Вакум,17,Бүргэд,102.0,3,1,5,1
289.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2024,0,Вакум,10,Бүргэд,72.28,7,0,2,1
140.5,"УБ — Баянзүрх, 16-р хороолол",Паркет,1,2016,0,Вакум,16,Бүргэд,57.51,9,0,4,1
80.0,"УБ — Баянзүрх, 16-р хороолол",Паркет,1,2013,0,Вакум,6,Бүргэд,24.0,1,0,2,1
611.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,0,2019,0,Модон вакум,17,Төмөр вакум,82.0,13,0,3,1
100.0,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,0,2014,0,Вакум,12,Бүргэд,34.0,9,1,1,1
577.3,"УБ — Хан-Уул, Яармаг",Паркет,1,2023,1,Вакум,12,Төмөр,134.26,12,1,5,1
495.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2021,0,Вакум,16,Бүргэд,100.0,2,0,4,1
471.9,"УБ — Хан-Уул, King Tower",Паркет,0,2019,0,Вакум,16,Бүргэд,121.0,3,0,3,1
129.06,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1,2017,0,Вакум,15,Бүргэд,47.8,15,1,2,1
525.0,УБ — Сүхбаатар,Плита,3,2015,1,Вакум,9,Бүргэд,175.0,9,1,8,1
160.0,"УБ — Сонгинохайрхан, 5 шар",Паркет,1,2015,0,Вакум,9,Бүргэд,53.94,7,1,3,1
715.302,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2024,0,Вакум,20,Бүргэд,170.31,14,0,7,0
260.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2019,0,Вакум,6,Бүргэд,66.0,3,0,4,1
415.0,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1,2014,0,Вакум,15,Мод,98.0,3,0,4,1
243.612,"УБ — Баянзүрх, Халдвартын эмнэлэг",Паркет,1,2017,0,Вакум,13,Бүргэд,72.72,5,0,3,1
247.078,"УБ — Хан-Уул, Зайсан",Паркет,2,2024,0,Вакум,12,Төмөр,72.67,10,1,3,1
384.2,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2018,0,Вакум,16,Бүргэд,113.0,4,0,6,1
