үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:,Код:,location:
7100000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 11",Паркет,1 тагттай,2022,Байгаа,Вакум,7,Төмөр,184.04 м²,4,Лизинггүй,7,Ашиглалтад орсон,,,
350000000.00,"УБ — Сүхбаатар, Бага тойрог",Паркет,2 тагттай,1998,Байхгүй,Вакум,7,Төмөр,90.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,,,
665000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2 тагттай,2010,Байхгүй,Вакум,16,Бүргэд,180.0 м²,2,Банкны лизингтэй,8,Ашиглалтад орсон,,,
150000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,1980,Байхгүй,Вакум,5,Бүргэд,50.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,,,
260000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байхгүй,Вакум,9,Төмөр,80.0 м²,2,Хувь лизингтэй,4,Ашиглалтад орсон,,,
595000000.00,"УБ — Хан-Уул, King Tower",Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Төмөр,137.0 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,,,
6700000.00,"УБ — Баянгол, Баруун 4 зам",Паркет,1 тагттай,2024,Байхгүй,Вакум,18,Бүргэд,101.86 м²,12,Банкны лизингтэй,4,Ашиглалтад орсон,,,
1011000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2 тагттай,2022,Байгаа,Вакум,10,Бүргэд,252.69 м²,9,Лизинггүй,8,Ашиглалтад орсон,,,
456000000.00,"УБ — Баянзүрх, Чингис зочид буудал",Паркет,1 тагттай,2024,Байхгүй,Вакум,25,Төмөр,79.0 м²,22,Лизинггүй,4,Ашиглалтад орсон,,,
120000000.00,"УБ — Хан-Уул, Viva city",Паркет,Тагтгүй,2012,Байхгүй,Төмөр вакум,5,Бүргэд,41.6 м²,3,Банкны лизингтэй,3,Ашиглалтад орсон,,,
677000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2024,Байхгүй,Вакум,15,Бүргэд,127.0 м²,6,Банкны лизингтэй,6,Ашиглалтад орсон,,,
256000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,64.0 м²,8,Лизинггүй,2,Ашиглалтад орсон,,,
137000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1 тагттай,2019,Байхгүй,Вакум,14,Бүргэд,45.6 м²,11,Лизинггүй,2,Ашиглалтад орсон,,,
2200000.00,"УБ — Хан-Уул, Яармаг",Паркет,3+ тагттай,2021,Байхгүй,Вакум,12,Төмөр вакум,123.6 м²,5,Хувь лизингтэй,6,Ашиглалтад орсон,,,
143000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,Тагтгүй,2024,Байхгүй,Вакум,16,Бүргэд,49.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,,,
2650000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1 тагттай,2014,Байхгүй,Вакум,14,Бүргэд,40.0 м²,13,Хувь лизингтэй,1,Ашиглалтад орсон,,,
625000000.00,"УБ — Хан-Уул, Хүннү",Паркет,2 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,96.0 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,,,
143000000.00,"УБ — Баянзүрх, Амгалан",Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Төмөр,52.38 м²,8,Лизинггүй,2,Ашиглалтад орсон,,,
2800000.00,УБ — Сүхбаатар,Ламинат,3+ тагттай,2001,Байхгүй,Вакум,7,Вакум,204.0 м²,7,Банкны лизингтэй,8,Ашиглалтад орсон,,,
370000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 1",Паркет,1 тагттай,2007,Байгаа,Вакум,12,Бүргэд,90.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,,,
815000000.00,"УБ — Сүхбаатар, Сүхбаатарын талбай",Паркет,2 тагттай,2008,Байхгүй,Вакум,6,Төмөр,160.0 м²,6,Банкны лизингтэй,8,Ашиглалтад орсон,,,
128000000.00,"УБ — Сонгинохайрхан, Москва хороолол",Паркет,1 тагттай,2008,Байхгүй,Вакум,9,Төмөр,41.57 м²,5,Лизинггүй,3,Ашиглалтад орсон,,,
680000000.00,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1 тагттай,2019,Байгаа,Вакум,15,Бүргэд,124.3 м²,7,Банкны лизингтэй,5,Ашиглалтад орсон,,,
170000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,39.55 м²,2,Лизинггүй,1,Ашиглалтад орсон,,,
665000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2020,Байгаа,Вакум,15,Бүргэд,130.343 м²,13,Банкны лизингтэй,5,Ашиглалтад орсон,,,
132000000.00,"УБ — Баянзүрх, Зүүн 4 зам",Паркет,Тагтгүй,2012,Байхгүй,Вакум,12,Төмөр,40.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,,,
880000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 5",Паркет,1 тагттай,2008,Байхгүй,Вакум,7,Төмөр,169.0 м²,6,Лизинггүй,6,Ашиглалтад орсон,,,
680000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,124.3 м²,7,Банкны лизингтэй,8,Ашиглалтад орсон,,,
180000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,2 тагттай,2007,Байхгүй,Вакум,3,Бүргэд,90.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,,,
665000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2014,Байхгүй,Вакум,16,Бүргэд,180.0 м²,2,Банкны лизингтэй,6,Ашиглалтад орсон,,,
1050000000.00,"УБ — Хан-Уул, Зайсан",Мод,1 тагттай,2016,Байгаа,Модон вакум,6,Мод,190.0 м²,4,Лизинггүй,6,Ашиглалтад орсон,,,
7700000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2023,Байхгүй,Төмөр вакум,10,Бүргэд,60.14 м²,3,Банкны лизингтэй,3,Ашиглалтад орсон,,,
4500000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2013,Байгаа,Вакум,15,Бүргэд,99.7 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
145000000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2006,Байхгүй,Вакум,5,Бүргэд,58.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,,,
194500000.00,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,56.39 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,,,
669000000.00,"УБ — Хан-Уул, 19-р хороолол",Ламинат,1 тагттай,2023,Байгаа,Вакум,25,Бүргэд,84.72 м²,12,Лизинггүй,4,Ашиглалтад орсон,,,
3300000.00,"УБ — Баянгол, Модны 2",Паркет,1 тагттай,2013,Байхгүй,Вакум,13,Бүргэд,56.38 м²,2,Банкны лизингтэй,4,Ашиглалтад орсон,,,
780000000.00,"УБ — Баянзүрх, Сансар",Паркет,2 тагттай,2006,Байгаа,Вакум,12,Бүргэд,240.0 м²,4,Лизинггүй,8,Ашиглалтад орсон,,,
278000000.00,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,2 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,76.0 м²,8,Банкны лизингтэй,3,Ашиглалтад орсон,,,
160000000.00,"УБ — Чингэлтэй, 40 мянгат",Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,43.7 м²,7,Лизинггүй,2,Ашиглалтад орсон,,,
4400000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байгаа,Вакум,15,Төмөр,107.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,,,
5100000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Төмөр,136.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,,,
4700000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2008,Байхгүй,Вакум,7,Төмөр,150.0 м²,7,Лизинггүй,6,Ашиглалтад орсон,,,
520000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Мод,1 тагттай,2016,Байгаа,Модон вакум,16,Төмөр,110.0 м²,15,Лизинггүй,5,Ашиглалтад орсон,,,
245000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2023,Байгаа,Вакум,16,Вакум,79.6 м²,9,Лизинггүй,3,Ашиглалтад орсон,,,
4200000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2022,Байхгүй,Вакум,10,Бүргэд,156.38 м²,3,Лизинггүй,5,Ашиглалтад орсон,,,
1500000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2010,Байгаа,Вакум,6,Төмөр,309.0 м²,4,Лизинггүй,6,Ашиглалтад орсон,,,
133000000.00,"УБ — Баянгол, Баянгол, Хороо 12",Паркет,1 тагттай,1999,Байхгүй,Вакум,9,Бүргэд,40.0 м²,1,Лизинггүй,3,Ашиглалтад орсон,,,
385000000.00,"УБ — Хан-Уул, 120 мянгат",Паркет,1 тагттай,2017,Байхгүй,Вакум,12,Бүргэд,73.1 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,,,
494000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,2 тагттай,2013,Байгаа,Вакум,9,Бүргэд,141.0 м²,3,Лизинггүй,6,Ашиглалтад орсон,,,
494000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,2 тагттай,2013,Байгаа,Вакум,9,Бүргэд,141.0 м²,3,Лизинггүй,6,Ашиглалтад орсон,,,
186000000.00,"УБ — Баянгол, Модны 2",Паркет,1 тагттай,2012,Байгаа,Вакум,12,Бүргэд,60.0 м²,4,Лизинггүй,1,Ашиглалтад орсон,,,
98000000.00,"УБ — Баянзүрх, Их Засаг Их сургууль",Паркет,1 тагттай,2017,Байхгүй,Вакум,6,Төмөр,38.03 м²,4,Лизинггүй,1,Ашиглалтад орсон,,,
350000000.00,"УБ — Чингэлтэй, 50 мянгат",Паркет,2 тагттай,1985,Байхгүй,Вакум,4,Бүргэд,77.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,,,
2800000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2019,Байхгүй,Вакум,7,Төмөр,65.0 м²,4,Банкны лизингтэй,2,Ашиглалтад орсон,,,
258000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Төмөр,60.0 м²,16,Лизинггүй,3,Ашиглалтад орсон,,,
160000000.00,"УБ — Баянгол, Төмөр зам",Паркет,1 тагттай,2017,Байхгүй,Вакум,5,Төмөр,60.0 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
6400000.00,"УБ — Баянзүрх, Олимп хотхон",Паркет,1 тагттай,2022,Байхгүй,Вакум,17,Төмөр,82.0 м²,11,Лизинггүй,3,Ашиглалтад орсон,,,
380000000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2019,Байхгүй,Вакум,5,Бүргэд,83.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,,,
3500000.00,"УБ — Сүхбаатар, Сэлх",Паркет,2 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,72.67 м²,10,Банкны лизингтэй,3,Ашиглалтад орсон,,,
3300000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2016,Байхгүй,Вакум,10,Төмөр,134.0 м²,3,Лизинггүй,6,Ашиглалтад орсон,,,
262000000.00,"УБ — Хан-Уул, Арцатын ам",Паркет,1 тагттай,2022,Байгаа,Вакум,13,Төмөр,77.11 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,,,
264000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,Тагтгүй,2022,Байгаа,Вакум,12,Бүргэд,63.0 м²,1,Лизинггүй,3,Ашиглалтад орсон,,,
105000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 5",Паркет,1 тагттай,2016,Байхгүй,Вакум,13,Бүргэд,32.0 м²,13,Лизинггүй,1,Ашиглалтад орсон,,,
172710000.00,"УБ — Баянгол, 10-р хороолол",Паркет,2 тагттай,2018,Байхгүй,Вакум,16,Төмөр,57.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
248500000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,71.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,,,
254000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2023,Байхгүй,Вакум,12,Бүргэд,72.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,,,
263000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2022,Байгаа,Вакум,12,Бүргэд,65.97 м²,11,Лизинггүй,2,Ашиглалтад орсон,,,
316500000.00,"УБ — Баянгол, Төмөр зам",Паркет,1 тагттай,2015,Байхгүй,Вакум,10,Бүргэд,84.4 м²,8,Банкны лизингтэй,3,Ашиглалтад орсон,,,
138000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Бүргэд,48.67 м²,4,Лизинггүй,2,Ашиглалтад орсон,,,
210000000.00,"УБ — Баянзүрх, Баянмонгол хороолол",Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Бүргэд,56.09 м²,8,Банкны лизингтэй,3,Ашиглалтад орсон,,,
1200000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2010,Байгаа,Вакум,6,Бүргэд,270.0 м²,5,Лизинггүй,6,Ашиглалтад орсон,,,
72000000.00,"УБ — Сонгинохайрхан, Орбит",Паркет,1 тагттай,1996,Байхгүй,Вакум,5,Вакум,18.0 м²,4,Лизинггүй,3,Ашиглалтад орсон,,,
110000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 43",Паркет,Тагтгүй,2017,Байхгүй,Вакум,12,Бүргэд,29.47 м²,10,Лизинггүй,1,Ашиглалтад орсон,,,
8200000.00,"УБ — Хан-Уул, River Garden",Паркет,Тагтгүй,2023,Байгаа,Вакум,23,Бүргэд,174.2 м²,22,Лизинггүй,5,Ашиглалтад орсон,,,
5900000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,2 тагттай,2015,Байхгүй,Вакум,16,Бүргэд,94.52 м²,10,Лизинггүй,4,Ашиглалтад орсон,,,
4200000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,20,Бүргэд,168.69 м²,14,Лизинггүй,7,Ашиглалтад ороогүй,,,
1220000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2023,Байгаа,Вакум,9,Бүргэд,142.16 м²,3,Лизинггүй,4,Ашиглалтад орсон,,,
68000000.00,"УБ — Сонгинохайрхан, 5 шар",Паркет,1 тагттай,2013,Байхгүй,Вакум,15,Төмөр вакум,20.4 м²,7,Лизинггүй,1,Ашиглалтад орсон,,,
4300000.00,"УБ — Хан-Уул, King Tower",Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Төмөр вакум,66.0 м²,12,Лизинггүй,2,Ашиглалтад орсон,,,
4200000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2 тагттай,2024,Байхгүй,Вакум,20,Бүргэд,134.35 м²,3,Лизинггүй,6,Ашиглалтад ороогүй,,,
574500000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 36",Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,134.0 м²,6,Банкны лизингтэй,5,Ашиглалтад орсон,,,
110000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,2000,Байхгүй,Вакум,9,Бүргэд,40.0 м²,9,Лизинггүй,2,Ашиглалтад орсон,,,
1350000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 11",Паркет,1 тагттай,2022,Байгаа,Вакум,7,Төмөр,184.0 м²,4,Лизинггүй,5,Ашиглалтад орсон,,,
110000000.00,"УБ — Баянзүрх, 15-р хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,7,Төмөр,40.0 м²,7,Банкны лизингтэй,2,Ашиглалтад орсон,,,
116000000.00,"УБ — Хан-Уул, Viva city",Паркет,Тагтгүй,2006,Байхгүй,Вакум,5,Бүргэд,49.5 м²,4,Лизинггүй,4,Ашиглалтад орсон,,,
185000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 1",Паркет,1 тагттай,1992,Байхгүй,Вакум,9,Бүргэд,78.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,,,
430000000.00,"УБ — Хан-Уул, Хүннү",Паркет,1 тагттай,2022,Байхгүй,Вакум,25,Бүргэд,70.0 м²,18,Лизинггүй,4,Ашиглалтад орсон,,,
215000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Ламинат,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,72.05 м²,6,Лизинггүй,3,Ашиглалтад ороогүй,,,
3600000.00,"УБ — Сүхбаатар, 100 айл",Паркет,2 тагттай,2022,Байхгүй,Вакум,15,Бүргэд,122.0 м²,2,Лизинггүй,7,Ашиглалтад орсон,,,
175000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байхгүй,Вакум,18,Төмөр вакум,56.0 м²,16,Лизинггүй,2,Ашиглалтад орсон,,,
771000000.00,"УБ — Сүхбаатар, 220 мянгат",Паркет,2 тагттай,2014,Байгаа,Вакум,6,Төмөр,130.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,,,
350000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Төмөр вакум,15,Төмөр,81.0 м²,13,Хувь лизингтэй,2,Ашиглалтад орсон,,,
6700000.00,"УБ — Сүхбаатар, Цирк",Паркет,1 тагттай,2025,Байгаа,Вакум,10,Бүргэд,163.0 м²,9,Банкны лизингтэй,4,Ашиглалтад ороогүй,,,
9500000.00,"УБ — Хан-Уул, 120 мянгат",Паркет,Тагтгүй,2023,Байхгүй,Вакум,20,Бүргэд,126.0 м²,11,Банкны лизингтэй,6,Ашиглалтад орсон,,,
225000000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2018,Байхгүй,Вакум,12,Бүргэд,79.35 м²,1,Банкны лизингтэй,3,Ашиглалтад орсон,,,
120000000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2000,Байхгүй,Вакум,9,Бүргэд,54.0 м²,8,Лизинггүй,3,Ашиглалтад орсон,,,
263040000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2024,Байгаа,Вакум,2,Бүргэд,82.2 м²,13,Банкны лизингтэй,4,Ашиглалтад ороогүй,,,
201000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,1 тагттай,2017,Байхгүй,Вакум,6,Бүргэд,71.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,,,
270100000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2018,Байгаа,Вакум,10,Бүргэд,129.0 м²,9,Банкны лизингтэй,5,Ашиглалтад орсон,,,
2450000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2009,Байгаа,Төмөр вакум,5,Төмөр вакум,139.0 м²,3,Лизинггүй,5,Ашиглалтад орсон,,,
350000000.00,"УБ — Хан-Уул, Хүннү",Паркет,1 тагттай,2023,Байхгүй,Вакум,25,Бүргэд,49.98 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,,,
115000000.00,"УБ — Баянзүрх, Өгөөмөр захын зүүн",Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Төмөр,42.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,,,
700000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1 тагттай,2009,Байхгүй,Вакум,7,Бүргэд,132.3 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
336000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2012,Байгаа,Вакум,6,Бүргэд,98.31 м²,5,Лизинггүй,5,Ашиглалтад орсон,,,
360000000.00,"УБ — Баянгол, Нарны хороолол",Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Бүргэд,89.3 м²,12,Лизинггүй,3,Ашиглалтад орсон,,,
175000000.00,"УБ — Баянгол, Баянгол, Хороо 3",Паркет,1 тагттай,2013,Байгаа,Вакум,7,Бүргэд,50.1 м²,7,Лизинггүй,3,Ашиглалтад орсон,,,
165000000.00,"УБ — Хан-Уул, Нисэх",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,55.2 м²,8,Лизинггүй,3,Ашиглалтад ороогүй,,,
125000000.00,"УБ — Баянгол, 25-р эмийн сан",Паркет,1 тагттай,2002,Байхгүй,Вакум,5,Бүргэд,36.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,,,
125000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Мод,1 тагттай,2012,Байхгүй,Вакум,12,Төмөр,36.7 м²,12,Банкны лизингтэй,2,Ашиглалтад орсон,,,
125000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Мод,1 тагттай,2012,Байхгүй,Вакум,12,Төмөр,36.7 м²,12,Банкны лизингтэй,2,Ашиглалтад орсон,,,
3650000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,54.4 м²,14,Лизинггүй,3,Ашиглалтад орсон,,,
139000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 5",Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Төмөр,41.0 м²,9,Лизинггүй,1,Ашиглалтад орсон,,,
205000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,Тагтгүй,1985,Байхгүй,Вакум,5,Бүргэд,40.0 м²,1,Лизинггүй,4,Ашиглалтад орсон,,,
665000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2021,Байгаа,Вакум,15,Бүргэд,130.0 м²,13,Лизинггүй,5,Ашиглалтад орсон,,,
172000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,2 тагттай,1980,Байхгүй,Вакум,9,Мод,40.0 м²,9,Лизинггүй,4,Ашиглалтад орсон,,,
250000000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Төмөр вакум,74.9 м²,10,Хувь лизингтэй,3,Ашиглалтад орсон,,,
760000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,96.0 м²,9,Лизинггүй,4,Ашиглалтад орсон,,,
215155000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2020,Байхгүй,Вакум,12,Бүргэд,58.15 м²,7,Лизинггүй,4,Ашиглалтад орсон,,,
4300000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2024,Байхгүй,Вакум,7,Бүргэд,100.0 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,,,
265000000.00,"УБ — Баянзүрх, 13-р хороолол",Паркет,3+ тагттай,2004,Байхгүй,Вакум,5,Бүргэд,90.0 м²,1,Лизинггүй,4,Ашиглалтад орсон,,,
165000000.00,"УБ — Баянгол, Баянгол, Хороо 12",Паркет,1 тагттай,2000,Байхгүй,Вакум,9,Бүргэд,72.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,,,
840000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2019,Байхгүй,Вакум,15,Бүргэд,112.2 м²,13,Банкны лизингтэй,4,Ашиглалтад орсон,,,
3300000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,2 тагттай,2016,Байхгүй,Вакум,10,Бүргэд,120.0 м²,8,Лизинггүй,6,Ашиглалтад орсон,,,
4600000.00,"УБ — Хан-Уул, Мишээл",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,135.59 м²,11,Хувь лизингтэй,5,Ашиглалтад орсон,,,
310000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2014,Байгаа,Вакум,4,Бүргэд,94.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,,,
1500000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2022,Байгаа,Төмөр вакум,3,Төмөр,147.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,,,
415000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Паркет,1 тагттай,2012,Байгаа,Вакум,12,Төмөр вакум,116.96 м²,10,Лизинггүй,4,Ашиглалтад орсон,,,
258000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Төмөр,60.0 м²,16,Лизинггүй,3,Ашиглалтад орсон,,,
710000000.00,"УБ — Чингэлтэй, 40 мянгат",Паркет,2 тагттай,2016,Байхгүй,Төмөр вакум,6,Төмөр,157.7 м²,5,Лизинггүй,5,Ашиглалтад орсон,,,
296000000.00,"УБ — Сүхбаатар, Дөлгөөн нуур",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,80.0 м²,11,Банкны лизингтэй,3,Ашиглалтад орсон,,,
188000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2014,Байхгүй,Вакум,17,Бүргэд,73.0 м²,13,Лизинггүй,2,Ашиглалтад орсон,,,
762000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2014,Байгаа,Вакум,5,Бүргэд,129.0 м²,3,Банкны лизингтэй,4,Ашиглалтад орсон,,,
215000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Бүргэд,62.0 м²,12,Банкны лизингтэй,3,Ашиглалтад орсон,,,
625000000.00,"УБ — Хан-Уул, Хүннү",Паркет,2 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,96.0 м²,8,Банкны лизингтэй,5,Ашиглалтад орсон,,,
492000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,82.0 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,,,
165000000.00,"УБ — Хан-Уул, Мишээл",Ламинат,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,55.0 м²,1,Банкны лизингтэй,2,Ашиглалтад орсон,,,
360000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2015,Байгаа,Вакум,9,Бүргэд,101.0 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,,,
720000000.00,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1 тагттай,2014,Байгаа,Вакум,7,Бүргэд,145.0 м²,7,Банкны лизингтэй,6,Ашиглалтад орсон,,,
