үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:,Код:,location:
255000000.00,"УБ — Баянгол, Баянгол, Хороо 3",Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Бүргэд,67.0 м²,11,Банкны лизингтэй,2,Ашиглалтад орсон,,,
1130000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,222.0 м²,16,Лизинггүй,5,Ашиглалтад орсон,,,
3750000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2020,Байгаа,Төмөр вакум,10,Төмөр вакум,102.0 м²,1,Лизинггүй,8,Ашиглалтад орсон,,,
4300000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2",Паркет,1 тагттай,2008,Байгаа,Вакум,5,Төмөр,157.7 м²,5,Лизинггүй,5,Ашиглалтад орсон,,,
94000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 22",Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,37.8 м²,3,Лизинггүй,2,Ашиглалтад орсон,,,
1296000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2023,Байгаа,Вакум,25,Бүргэд,159.65 м²,23,Банкны лизингтэй,4,Ашиглалтад орсон,,,
210000000.00,"УБ — Хан-Уул, Нисэх",Паркет,2 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,79.0 м²,3,Лизинггүй,6,Ашиглалтад орсон,,,
860000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Мод,3+ тагттай,2005,Байгаа,Вакум,6,Бүргэд,236.0 м²,3,Банкны лизингтэй,6,Ашиглалтад орсон,,,
168000000.00,"УБ — Баянгол, Баянгол, Хороо 1",Паркет,1 тагттай,2016,Байхгүй,Вакум,13,Бүргэд,48.12 м²,7,Лизинггүй,3,Ашиглалтад орсон,,,
1430000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2018,Байхгүй,Вакум,14,Бүргэд,236.0 м²,13,Лизинггүй,8,Ашиглалтад орсон,,,
850000000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2018,Байгаа,Модон вакум,15,Бүргэд,120.0 м²,12,Лизинггүй,6,Ашиглалтад орсон,,,
3000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 8",Паркет,2 тагттай,2017,Байхгүй,Вакум,17,Бүргэд,117.58 м²,16,Лизинггүй,7,Ашиглалтад орсон,,,
2700000.00,"УБ — Баянзүрх, Баянзүрх дүүрэг",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,87.72 м²,7,Лизинггүй,5,Ашиглалтад орсон,,,
204000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 38",Паркет,1 тагттай,2020,Байгаа,Вакум,16,Бүргэд,58.4 м²,5,Лизинггүй,3,Ашиглалтад орсон,,,
4500000.00,"УБ — Хан-Уул, Мишээл",Цемент,1 тагттай,2024,Байхгүй,Вакум,15,Төмөр вакум,70.3 м²,5,Хувь лизингтэй,2,Ашиглалтад орсон,,,
