iter	RMSE
349	38.39459387
350	38.34159431
351	38.30772214
352	38.25476618
353	38.23519944
354	38.20140182
355	38.14939482
356	38.11601316
357	38.111086
358	38.07864927
359	37.98622808
360	37.94283951
361	37.9024818
362	37.84663054
363	37.7998131
364	37.7524866
365	37.71294254
366	37.65999494
367	37.59942641
368	37.53608833
369	37.52149764
370	37.50428958
371	37.47491703
372	37.44168498
373	37.41502029
374	37.36308685
375	37.35097978
376	37.28282732
377	37.25879477
378	37.23554379
379	37.21516222
380	37.194569
381	37.18391604
382	37.15193381
383	37.08724215
384	37.06376426
385	37.02134207
386	36.98841201
387	36.95201675
388	36.93960838
389	36.92571786
390	36.91833839
391	36.89845358
392	36.83665982
393	36.78689496
394	36.72718534
395	36.69354451
396	36.65494739
397	36.62522802
398	36.60067008
399	36.58228994
400	36.56036447
401	36.55001719
402	36.51273321
403	36.50315031
404	36.46214252
405	36.43367381
406	36.38673945
407	36.34541852
408	36.33109993
409	36.29685425
410	36.24499182
411	36.22621331
412	36.19653215
413	36.14730686
414	36.0850606
415	36.06852237
416	36.02550842
417	35.99446336
418	35.95218491
419	35.91690488
420	35.8807407
421	35.8291588
422	35.78631023
423	35.76544587
424	35.75338096
425	35.73104068
426	35.69593277
427	35.66678475
428	35.61576443
429	35.59286349
430	35.55371765
431	35.53040783
432	35.47533189
433	35.45048728
434	35.42710357
435	35.39032399
436	35.35268691
437	35.28840971
438	35.24845727
439	35.20380978
440	35.1811285
441	35.14568017
442	35.11960997
443	35.10838057
444	35.06571946
445	35.03160913
446	35.01313838
447	34.94250583
448	34.91977972
449	34.8897782
450	34.84594461
451	34.81871558
452	34.79583912
453	34.7413864
454	34.70600208
455	34.67182
456	34.61174589
457	34.59795234
458	34.57638406
459	34.50209982
460	34.46777523
461	34.43969567
462	34.3978415
463	34.37772321
464	34.36093595
465	34.32566478
466	34.27454015
467	34.26203865
468	34.23425994
469	34.21045916
470	34.20276634
471	34.1755236
472	34.15142127
473	34.09753533
474	34.0901855
475	34.08794742
476	34.08151929
477	34.05923472
478	34.03420947
479	33.99899819
480	33.98227443
481	33.95787755
482	33.94544396
483	33.9272237
484	33.90929101
485	33.89992579
486	33.87953409
487	33.85415075
488	33.83956924
489	33.80969852
490	33.76102206
491	33.74049631
492	33.72674842
493	33.7012215
494	33.67522815
495	33.66717106
496	33.62072099
497	33.59409918
498	33.58004788
499	33.55806777
500	33.5526236
501	33.52327181
502	33.51700212
503	33.49208806
504	33.47364885
505	33.45336651
506	33.42059113
507	33.37493068
508	33.33015923
509	33.31594867
510	33.29207743
511	33.27371892
512	33.26354335
513	33.23036685
514	33.20442279
515	33.17454324
516	33.17068232
517	33.15248614
518	33.14200852
519	33.13321739
520	33.11837201
521	33.0871028
522	33.06007055
523	33.04420162
524	33.02572741
525	33.01304205
526	32.96888737
527	32.9454119
528	32.93565266
529	32.89429627
530	32.87172389
531	32.84666199
532	32.8099793
533	32.77826742
534	32.74251928
535	32.72130201
536	32.69202193
537	32.67319531
538	32.58135676
539	32.55485037
540	32.54551327
541	32.51724086
542	32.4882838
543	32.44956403
544	32.43882513
545	32.42141445
546	32.3869917
547	32.35556235
548	32.3490324
549	32.31952116
550	32.29554952
551	32.25429187
552	32.19443525
553	32.12047892
554	32.10788729
555	32.0919014
556	32.06936197
557	32.04893672
558	32.04078343
559	31.99983782
560	31.9756964
561	31.96393709
562	31.9481948
563	31.92628722
564	31.9109842
565	31.87757687
566	31.85353658
567	31.83514285
568	31.8106377
569	31.78989058
570	31.76956553
571	31.73456012
572	31.72807538
573	31.68974853
574	31.66985238
575	31.6575967
576	31.61614586
577	31.59846161
578	31.56225713
579	31.53264894
580	31.52254201
581	31.49026462
582	31.46216261
583	31.44781029
584	31.42246553
585	31.40153133
586	31.38074514
587	31.34517055
588	31.34159893
589	31.32904329
590	31.29386877
591	31.28921756
592	31.26169375
593	31.25173348
594	31.22734669
595	31.2116179
596	31.19905969
597	31.17848296
598	31.15585525
599	31.14712746
